(1042410W, 325018N)	(1044519W, 324315N)
(1040801W, 325641N)	(1043423W, 320756N)
(1041854W, 321039N)	(1035312W, 322931N)
(1042430W, 324904N)	(1042518W, 323542N)
(1035254W, 322654N)	(1041321W, 322314N)
(1044945W, 322717N)	(1041410W, 322520N)
(1041305W, 322304N)	(1041517W, 322120N)
(1044150W, 321436N)	(1044149W, 321519N)
(1042952W, 322110N)	(1044514W, 320734N)
(1041906W, 321519N)	(1035811W, 324015N)
(1042108W, 324136N)	(1043704W, 321438N)
(1041055W, 322812N)	(1041316W, 320732N)
(1034653W, 321722N)	(1040019W, 320532N)
(1042344W, 324834N)	(1042957W, 321438N)
(1040545W, 321710N)	(1044910W, 324558N)
(1042323W, 324654N)	(1041314W, 321524N)
(1043304W, 323644N)	(1041316W, 322634N)
(1041945W, 321314N)	(1042750W, 325635N)
(1040945W, 325532N)	(1042655W, 325004N)
(1041316W, 322634N)	(1041532W, 322220N)
(1042113W, 322441N)	(1044602W, 321351N)
(1043625W, 320206N)	(1042407W, 322923N)
(1043154W, 324703N)	(1042918W, 321631N)
(1040610W, 322146N)	(1043958W, 322006N)
(1042410W, 325018N)	(1044729W, 324943N)
(1042548W, 325022N)	(1042153W, 322703N)
(1044839W, 321308N)	(1040834W, 320855N)
(1034900W, 322838N)	(1043845W, 323055N)
(1041120W, 321906N)	(1043525W, 323542N)
(1041913W, 325106N)	(1041511W, 321206N)
(1043721W, 323846N)	(1042514W, 325015N)
(1035029W, 320653N)	(1044108W, 320731N)
(1042455W, 324553N)	(1042359W, 324900N)
(1041500W, 320303N)	(1041558W, 325142N)
(1043733W, 321018N)	(1042034W, 322355N)
(1043030W, 321207N)	(1035602W, 323208N)
(1044804W, 322727N)	(1035250W, 322114N)
(1044641W, 324932N)	(1040545W, 321710N)
(1041619W, 321109N)	(1040536W, 320106N)
(1041048W, 323311N)	(1041752W, 321658N)
(1041830W, 321601N)	(1041521W, 322648N)
(1042511W, 322842N)	(1042723W, 321413N)
(1042307W, 324353N)	(1041007W, 322104N)
(1043002W, 323208N)	(1042757W, 324925N)
(1041315W, 321322N)	(1044719W, 322451N)
(1040421W, 321326N)	(1040553W, 322531N)
(1041047W, 325413N)	(1042757W, 324925N)
(1041418W, 322423N)	(1042308W, 324514N)
(1043954W, 320824N)	(1042054W, 320832N)
(1040248W, 322939N)	(1042543W, 325036N)
(1041344W, 322514N)	(1041229W, 324739N)
(1040145W, 324401N)	(1042332W, 322622N)
(1042412W, 325032N)	(1035636W, 323604N)
(1044449W, 320626N)	(1042430W, 324948N)
(1042331W, 323350N)	(1040118W, 320204N)
(1041410W, 322520N)	(1034428W, 320044N)
(1042548W, 324729N)	(1044235W, 320945N)
(1042705W, 322300N)	(1042412W, 325032N)
(1042326W, 323332N)	(1043704W, 321438N)
(1043347W, 322302N)	(1043343W, 322838N)
(1035935W, 321925N)	(1035617W, 322447N)
(1034836W, 321938N)	(1041326W, 322507N)
(1042955W, 322709N)	(1041229W, 320700N)
(1042434W, 324752N)	(1043057W, 323650N)
(1041344W, 322514N)	(1042425W, 322920N)
(1044340W, 320140N)	(1042124W, 324636N)
(1042359W, 324900N)	(1042638W, 321031N)
(1041412W, 322951N)	(1040637W, 321952N)
(1044834W, 320830N)	(1042705W, 324844N)
(1041041W, 323029N)	(1044701W, 322107N)
(1042311W, 324528N)	(1043050W, 320934N)
(1044220W, 324158N)	(1040152W, 321846N)
(1044720W, 321112N)	(1045040W, 320109N)
(1044620W, 321059N)	(1041351W, 322437N)
(1043558W, 321750N)	(1042447W, 325019N)
(1044714W, 320319N)	(1040248W, 325342N)
(1042504W, 324519N)	(1040324W, 324707N)
(1043921W, 324057N)	(1044719W, 322451N)
(1043849W, 320556N)	(1035842W, 324911N)
(1042330W, 322143N)	(1041557W, 321553N)
(1042412W, 324652N)	(1034657W, 323024N)
(1041354W, 322429N)	(1042320W, 324610N)
(1042737W, 320626N)	(1042412W, 325021N)
(1044041W, 321722N)	(1035734W, 322139N)
(1040138W, 324404N)	(1040234W, 320750N)
(1042109W, 320122N)	(1042412W, 325032N)
